year,group_var_val,pctl10_adj,pctl25_adj,pctl50_adj,pctl75_adj,pctl90_adj,pctl95_adj,pctl98_adj
2005,Female,2079.061535,7494.997851,20246.4909,36608.18636,55083.10931,70166.74504,92146.84172
2005,Male,3325.486131,12780.59738,32166.61242,55956.23923,85528.77001,111811.246,163743.4952
2006,Female,2075.03887,7532.169564,20516.54684,37070.08942,55925.12827,71358.69139,94361.34648
2006,Male,3398.09153,13107.45194,32959.39558,57365.10186,87998.38624,115628.6488,168489.2179
2007,Female,2129.91983,7708.509852,20915.21275,37822.57636,56985.85505,72621.26654,96200.37902
2007,Male,3339.474302,13031.50949,33322.74573,58245.80763,89996.61253,118459.5412,173393.4735
2008,Female,2191.07222,7907.672879,21234.75311,38203.90817,57667.15608,73634.01215,97654.2241
2008,Male,3480.075345,13437.79931,33705.21734,58879.23859,90882.87857,119809.6937,174936.1384
2009,Female,2293.037849,8303.788947,21761.65379,39012.03027,58950.47354,75546.36419,100299.9532
2009,Male,3210.486733,12563.79045,32771.0404,57980.43204,90681.34897,119677.4086,173204.9996
2010,Female,2222.841719,8211.654947,21631.37293,38865.28523,58762.93347,75181.65072,99407.86987
2010,Male,3041.481258,12296.8155,32561.8756,58154.40759,90348.87133,117686.6096,168435.372
2011,Female,2226.22425,8170.28779,21355.1793,38488.5953,58499.97727,75319.84056,100359.2642
2011,Male,3171.361708,12586.90169,32508.69717,58264.81273,91042.26937,119485.9796,171894.0756
2012,Female,2264.6232,8309.847945,21502.92708,38608.52756,58946.16309,75974.81035,101534.2712
2012,Male,3288.100966,12994.10011,33144.84926,59220.996,92596.70491,121696.0137,176002.9972
2013,Female,2334.155386,8525.30731,21801.35839,38938.74458,59503.60802,76825.38381,102770.0849
2013,Male,3387.345385,13286.89752,33678.21781,59709.69051,93821.76619,123432.5664,178098.6591
2014,Female,2305.796974,8444.26019,21775.78422,38946.38541,59888.74904,77508.11517,104701.1332
2014,Male,3421.298384,13473.63292,33999.28625,60508.47204,94967.20811,125547.3329,183459.3793
2015,Female,2449.932568,8843.425001,22548.33499,39926.01161,61760.04947,80118.552,108210.6857
2015,Male,3530.97331,13582.30675,34073.03955,60512.69477,95214.74224,126121.4199,184011.4714
2016,Female,2490.028802,9010.125413,22683.64517,39952.34851,61527.67225,79714.69907,107876.6187
2016,Male,3426.29652,13204.85812,33344.64173,58920.47804,92550.11671,122232.02,175537.0028
2017,Female,2536.516456,9176.861538,22970.65985,40198.65474,61904.68441,80169.26142,108530.1483
2017,Male,3596.939968,13755.44478,33979.162,59748.59359,93665.56067,122938.6398,174560.4296
2018,Female,2597.18406,9420.50115,23393.94005,40647.60516,62427.82005,80686.25743,109205.5509
2018,Male,3759.269151,14391.58654,34750.91137,60732.90119,94854.56124,124327.8809,177408.2742
2019,Female,2650,9603,23940,41550,63410,81980,111200
2019,Male,3727,14500,34910,60760,95010,124700,178400